id,code,img,title,album,cnt,regDate,modDate
34657844,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/120/quality/80/optimize,사랑인가봐,사랑인가봐(사내맞선OST스페셜트랙),234311,2026-03-04T11:08:29.000Z,2026-03-04T11:08:29.000Z
34701816,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/108/80/569/10880569_20220225143552_500.jpg/melon/resize/120/quality/80/optimize,존재만으로,스물다섯스물하나OSTPart4,137623,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
34752757,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/108/90/011/10890011_20220311131037_500.jpg/melon/resize/120/quality/80/optimize,"힙합보단사랑,사랑보단돈(Feat.베이식)",MOTNOAH,48344,2026-03-04T11:08:29.000Z,2026-03-04T11:08:29.000Z
34875621,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/109/16/904/10916904_20220412101049_500.jpg/melon/resize/120/quality/80/optimize,LOVEme,LOVEme,169537,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
34908740,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,우리들의블루스,IMHERO,124960,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
34927767,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/109/25/762/10925762_20220419152007_500.jpg/melon/resize/120/quality/80/optimize,정이라고하자(Feat.10CM),정이라고하자,240129,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
35008524,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,다시만날수있을까,IMHERO,102998,2026-03-04T11:08:29.000Z,2026-03-04T11:08:29.000Z
35008530,트로트,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,보금자리,IMHERO,58786,2026-03-04T12:28:38.000Z,2026-03-04T12:28:38.000Z
35018129,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/109/41/011/10941011_20220503153950_500.jpg/melon/resize/120/quality/80/optimize,Vancouver,LoveyDovey,144475,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
35299693,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/109/84/354/10984354_20220615140704_500.jpg/melon/resize/120/quality/80/optimize,Summer(Feat.BE’O(비오)),Summer,162048,2026-03-04T11:05:16.000Z,2026-03-04T17:52:14.000Z
